Stock,RMSE,MAE,R2
AAPL,4.188073524577971,2.8032754958670476,0.9705679904881402
MSFT,1.7060009174645254,1.1590451305467255,0.9823303885109296
XOM,1.791359328016988,1.2195604515854197,0.9395630779099491
