feature,importance
high,0.2517357327196063
close,0.2255404039609189
low,0.20943869361463857
open,0.07298262614984902
close_lag1,0.06737624743611229
ma_5,0.05954488451421565
ma_10,0.03956937685380785
ma_20,0.019773647046590945
close_lag2,0.015385497793821352
close_open_diff,0.0056050715027186945
volatility_10,0.005465053539837198
daily_return,0.005339731554956917
volatility_5,0.004918588128187979
return_lag1,0.004900443225110672
return_lag2,0.004495411320133325
volume,0.004043040772168232
price_range,0.003885562876144386
